FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
V,,V,,,,,,A-,,B+,,A-,,,A-,A-,A,A-,A,A,A-,,,A,,,,A,,,,,,A,,A,,,A
A,,A,,,,A,,,,B,,,,,,,A,,A,A-,A-,,,A,,,,B,,,,,,,,,,,A
,A,V,,,,,,,,,A-,A,,,,,A,,B,B+,A-,,,A,,,,A,,,,,,,,,,,A
C+,,A-,,,,B,,,,B,,A,,,C+,A-,B,B,C,D,D+,,C,C,,,,,,,C,,B,,,B+,,,C
B,,A-,,,,A,,,,A-,,A,,,,A,A,B,A,B-,B-,,,B,,,,B-,,,,,B,,,B,,,B-
D,,B,,,,C,,,,B,,C+,,,C,C,C+,,B-,C+,C-,,,D,,,,C-,,,,,C,,,C+,,,C+
V,,V,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,
A,,V,,,,,,,,A,,,,A,,,A,,A-,B,C+,,,B,,,,A-,,,,,,,,,,,A
A,,V,,,,,,A-,,A,,,A,,A-,A,A,A,A,A,A,,,V,,,,,A,,,A-,A,,,A,,,A
B+,,B+,,,,B+,,,,B+,,A,,,A,A,B+,B,B-,B,C-,,,B+,,,,,,,A,B-,B+,,,B,,,B
B,,A,,,,A,,,,A,,A,,,B+,A-,A,,B,C,C,,,C,,,,,,,C+,,C,,,D,,,B
A,,B+,,,,B+,,,,A,,,,,,,A,,A-,B,B,,,C,,,,C,,,,,,,,,,,A-
B,,,B+,,,,A,,,B+,,B,,,,C+,A-,A-,B+,A-,A-,,,A,,,,,,,A,,B-,,,C-,,,B+
A-,,A-,,,,A,,,,A-,,,,,,,A-,,A-,B+,B,,,B+,,,,C+,,,,,,,,,,,B+
A-,,B,,,,B,,,,A-,,,,,,,B,,B,C-,C-,,,C+,,,,,,,,,,,,,,,B
,C,,,,A-,,,,B-,,C+,,,B+,,B+,A-,B+,C,C+,D+,,,B,,,,,,,B,,B+,,,C+,,,B-
C+,,A,,,,A,,,,B+,,,B+,,B,B+,A-,,A-,C+,C+,,,B,,,,,,,A,,C+,,,B-,,,B-
A,,A,,,,B+,,,,A,,,,,,,A,,B,B,C,,,B+,,,,,,,,,,,,,,,B+
D,,,,,,,,,,,,,,,,,C+,,D,D,,,,,,,,,,,,,,,,,,,
V,,V,,,,,,,,A,,A,,,A,,A,,A-,A-,B,,,A,,,,B-,,,,,,,,,,,B+
B,,,,A,,,,,B,C,,A-,,,B+,C,B,,B+,A-,A-,,,B-,,,,D,,,,,B,,,B,,,B+
V,,A,,,,A,,,,A,,B,,,A-,A,A,,B,B,B,,,B,,,,,,,C,,C-,,,D,,,B
B-,,D,,,,C+;RF,,,,B-,,C+,,,C,B,C+,C,D,C+,C-,,,D,,,,,,,C,,D+,,,C,,,B
V,,V,,,,,,,,A,,A,,,V,,A,,A,B,B,,,C+,,,,A-,,,,,,,,,,,A-
A,,V,,,,,,A-,,A,,,B+,,A,A,A-,A,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
RF;B,,RF,,A-,,,,,A,B,,,,A-,B,A-,D+,A,D,D+,D,,,C,,,,,,,D,,C-,,,C,,,A
B,,B,,,,A,,,,B,,A,,,A,B+,A,,B,B,C,,,A,,,,B-,,,,,C+,,,C-,,,B
V,,V,,,,,,,,A-,,A,,,,,A,,A-,B-,B,,,A-,,,,,,,,,,,,,,,A
B+,,B,,,,B+,,,,C,,,,,,,A,,C+,C,C-,,,C,,,,,,,,,,,,,,,B-
B,,A,,,,B,,,,A,,B,,,B+,A,A,,A,A,B,,,A,,,,B+,,,,,A,,,A,,,B
B,,,B,,,,B+,,,A,,,,,A,A-,B+,B-,B-,D,D+,,B,C-,,,,RF;C-,,,,,D,,,C+,,,C
B+,,A-,,,,B-,,,,B,,,,,,,A-,,C,C+,D,,,,,,,,,,,,,,,,,,B+
A,,V,,,,A,,,,A,,A,,,A,A-,A-,B+,A,B-,B,,,B,,,,,,,A,C+,C+,,,C,,,A-
D+,,B,,,,B,,,,C,,,,A,A-,A-,C+,A-,B,C-,D+,,,D,,,,,,,C+,C-,D+,,,C+,,,C+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,
A,,A,,,,A,,,,A,,,A,,A-,B+,A,,B,C,C,,,B,,,,,,,A-,C,B-,,,B-,,,C
C-,,C+,,,,C-,,,,C-,,B,,,C+,,C,,C,D,D,,RF,,,,,,,,,,,,,,,,C-
A-,,,B-,,,B,,,,A-,,A,,,,A-,B+,B+,A,B-,B,,,D+,,,,B-,,,,,A,,,B,,,B+
V,,A-,,,,A-,,,,B,,A-,,,A,A,A,,A,B-,C+,,,,,C-,V,,,D,,,B-,,,C+,,,B-
V,,A,,,,A,,,,A,,,B+,,V,,A,,B+,B-,B,,,A-,,,,,,,,,,,,,,,A
V,,V,,,,,,A,,A,,A,,,V,A,A,A,A,A,A,,,A,,,,,,,A,,A,,,A,,,A
B-,,B+,,,,,D,,,D+,,A,,,B,B+,B+,,C,C+,D+,,,RD+;A,,,,,,,B,,D,,,C+,,,C-
B,,A,,,,A,,,,A-,,A,,,A,A-,B+,A-,B-,B+,B,,,C,,,,,,,A-,,B-,,,B,,,B
V,,A-,,,,A-,,,,B,,B-,,,B,B,B,,A-,C,C-,,,C-,,,,D,,,,,B-,,,C,,,B+
B,,B,,,,B,,,,B,,A,,,A-,A-,B,,B,C,B,,,B,,,,,,,C,,C+,,,B-,,,B
A,,B,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,V,,,,,B,,,,A,,,A,,,A
C,,,,B,,,,,B,C,,B,,,B+,D+,C,,B,D,D,,,D,,,,D,,,,,C,,,D+,,,C
A,,A,,,,A-,,,,C+,,,B+,,A-,A-,A,,A-,A,A-,,,A,,,,,,,A,A-,A,,,A,,,A
B+,,B,,,,A-,,,,A,,B+,,,A,B+,A,A-,B,A-,B,,,B+,,,,B,,,,,B,,,B+,,,B-
B-,,,A-,,,,A,,,B-,,,,B,B-,B+,A-,B-,B-,B-,B,,,C,,,,,,,B+,,B-,,,B-,,,B
A,,A-,,,,A-,,,,A,,A-,,,B+,A,A,B+,B,B+,B+,,,A-,,,,,,,A,C+,B,,,C,,,C
