tier1,tier2,hours_per_day,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education_research,meals,active_rec,religious,social,interactive,passive,work_employment,work_other,unknown
Paid work/ related activity (away from home),Paid work/ related activity (away from home),3.6857,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Paid work at home,Paid work at home,0.3714,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Study & job or skill training,Study & job or skill training,0.3,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Homework,Homework,0.1714,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Commuting, job & study-related travel","Commuting, job & study-related travel",0.8286,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Cooking & food related housework,Cooking & food related housework,0.7143,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"All other housework and repairs, gardening","All other housework and repairs, gardening",0.8857,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,0.2;0.1,0.1;0.1,nan;nan,0.6;0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Shopping, services, other domestic work","Shopping, services, other domestic work",0.4571,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.9;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Housework & personal care travel,Housework & personal care travel,0.2,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.75;0.1,0.25;0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Physical/medical child care,Physical/medical child care,0.2,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Interactive & other child care,Interactive & other child care,0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.9;0.05,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Child care-related travel,Child care-related travel,0.0714,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Pet care (excluding walking dogs),Pet care (excluding walking dogs),0.0143,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Sleep & naps,Sleep & naps,8.0571,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Wash, dress, & other personal care","Wash, dress, & other personal care",1.0286,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Meals (at home & packed lunches),Meals (at home & packed lunches),1.0143,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Walking (including walking dogs),Walking (including walking dogs),0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
