tier1,tier2,hours_per_day,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education_research,meals,active_rec,religious,social,interactive,passive,work_employment,work_other,unknown
SNA Activities,"Work for corporations/quasi corporations, non-profit institutions and government (formal sector work)",0.7,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.9;0.05,nan;nan,nan;nan
SNA Activities,Work for household in primary production activities,1.533333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.9;0.05,nan;nan,nan;nan
SNA Activities,Work for household in non-primary production activities,0.466666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.9;0.05,nan;nan,nan;nan
SNA Activities,Work for household in construction activities,0.083333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.9;0.05,nan;nan,nan;nan
SNA Activities,Work for household providing services for income,1.483333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.9;0.05,nan;nan,nan;nan
Non-SNA Activities,Providing unpaid domestic services for own final use within household,1.733333333,nan;nan,nan;nan,0.4;0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.4;0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,0.05;0.025,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Non-SNA Activities,Providing unpaid care-giving services to household members,0.583333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.7;0.05,0.2;0.05,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Non-SNA Activities,Providing community services and help to other households,0.233333333,nan;nan,nan;nan,0.1;0.05,nan;nan,nan;nan,0.025;0.0125,0.05;0.025,nan;nan,0.05;0.025,0.05;0.025,nan;nan,0.025;0.0125,0.1;0.025,0.05;0.025,nan;nan,0.05;0.025,0.3;0.125,0.05;0.0125,nan;nan,0.05;0.025,0.05;0.025,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan
Learning,Learning,1.566666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,nan;nan,0.9;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Other Non-productive Activities,Socializing and community participation,1.733333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,0.9;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Other Non-productive Activities,"Attending/visiting cultural, entertainment and sports events/venues",0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan
Other Non-productive Activities,"Hobbies, games and other pastime activities",0.15,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan
Other Non-productive Activities,Indoor and outdoor sports participation and related courses,0.166666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Other Non-productive Activities,Mass media,1.333333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.3;0.15,0.4;0.05,0.3;0.05,nan;nan,nan;nan,nan;nan
Other Non-productive Activities,Personal care and maintenance,12.03333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.6;0.1,0.075;0.025,nan;nan,0.025;0.025,nan;nan,0.025;0.005,nan;nan,nan;nan,0.15;0.025,nan;nan,nan;nan,nan;nan,nan;nan,0.125;0.025,nan;nan,nan;nan,nan;nan
