Activities,,hours_per_day,growth_collection,,,processing,,,preparation,,,material,,,energy,,,things,,,buildings,,,infrastructure,,,inhabited,,,waste,,,sleep,,,hygiene_grooming,,,childcare,,,adultcare,,,moving_things,,,moving_people,,,allocation,,,education_research,,,meals,,,active_rec,,,religious,,,social,,,interactive,,,passive,,,work_employment,,,work_other,,,unknown,,
,,,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h
tier1,tier2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,"Agriculture, hunting and forestry ",,0.8,0.7,0.9,,,,,,,0.16,0.11,0.21,0.04,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fishing ,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mining and quarrying ,,,,,,,,,,,0.85,0.75,0.95,0.15,0.05,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing ,,,,,,,,,,,,,,0.01,0,0.02,0.99,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Electricity, gas and water supply ",,,,,,,,,,,,,,0.6,0.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Construction ,,,,,,,,,,,,,,,,,,,,0.7,0.45,0.95,0.3,0.05,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods ",,,,,,,,,,,,,,,,,0.1,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.85,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hotels and restaurants ,,,,,,,,0.7,0.5,0.9,,,,,,,,,,,,,,,,0.3,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Transport, storage and communications ",,,,,,,,,,,,,,,,,0.1,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.3,0.6,0.45,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financial intermediation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Real estate, renting and business activities ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public administration and defence; compulsory social security ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health and social work ,,0.05,0,0.1,,,,0.1,0.05,0.15,,,,,,,,,,,,,,,,0.15,0.05,0.25,,,,,,,,,,0.1,0.05,0.15,0.35,0.1,0.6,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.3,,,,0.05,0,0.1,,,,,,,,,
,"Other community, social and personal service activities ",,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0,0.1,0.1,0,0.2,,,,0.05,0,0.1,,,,,,,,,,,,,0.35,0.2,0.5,,,,,,,0.1,0.05,0.15,0.05,0,0.1,,,,0.1,0.05,0.15,0.2,0.1,0.3,,,,,,,,,
,Activities of private households as employers and undifferentiated production activities of private households ,,0.3,0.1,0.5,,,,0.1,0,0.2,0.1,0,0.2,0.1,0,0.2,,,,0.05,0,0.1,,,,0.1,0,0.2,,,,,,,,,,0.1,0,0.2,0.05,0,0.1,0.05,0,0.1,,,,,,,0.05,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Extra-territorial organizations and bodies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
