Activities,,hours_per_day,growth_collection,,,processing,,,preparation,,,material,,,energy,,,things,,,buildings,,,infrastructure,,,inhabited,,,waste,,,sleep,,,hygiene_grooming,,,childcare,,,adultcare,,,moving_things,,,moving_people,,,allocation,,,education_research,,,meals,,,active_rec,,,religious,,,social,,,interactive,,,passive,,,work_employment,,,work_other,,,unknown,,
,,,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h,m,l,h
tier1,tier2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,agriculture; forestry and fishing,,0.85,0.8,0.9,,,,,,,0.12,0.07,0.17,0.03,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mining and quarrying,,,,,,,,,,,0.85,0.75,0.95,0.15,0.05,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,manufacturing,,,,,,,,,,,,,,0.01,0,0.02,0.99,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"electricity; gas, steam and air conditioning supply",,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"water supply; sewerage, waste management and remediation activities",,0.5,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,construction,,,,,,,,,,,,,,,,,,,,0.7,0.45,0.95,0.3,0.05,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wholesale and retail trade; repair of motor vehicles and motorcycles,,,,,,,,,,,,,,,,,0.1,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.85,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,transportation and storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,0.75,0.5,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,accommodation and food service activities,,,,,,,,0.7,0.5,0.9,,,,,,,,,,,,,,,,0.3,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,information and communication,,,,,,,,,,,,,,,,,0.2,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.2,0.6,,,,,,,,,
,financial and insurance activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,real estate activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"professional, scientific and technical activities",,0.05,0,0.1,,,,,,,,,,,,,0.05,0,0.1,0.1,0,0.2,0.05,0,0.1,0.05,0,0.1,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.7,0.2,0.05,0.35,,,,,,,,,,,,,0.05,0,0.1,,,,,,,,,,,,
,administrative and support service activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,public administration and defence; compulsory social security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,human health and social work activities,,,,,,,,0.1,0.05,0.15,,,,,,,,,,,,,,,,0.15,0.05,0.25,,,,,,,,,,0.1,0.05,0.15,0.4,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.3,,,,0.05,0,0.1,,,,,,,,,
,"arts, entertainment and recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.3,,,,,,,0.4,0.2,0.6,0.4,0.2,0.6,,,,,,,,,
,other service activities,,,,,,,,,,,,,,,,,0.1,0.05,0.15,,,,,,,0.2,0.1,0.3,,,,,,,0.1,0,0.2,,,,,,,,,,,,,0.5,0.3,0.7,,,,,,,,,,0.1,0.05,0.15,,,,,,,,,,,,,,,,,,
,activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,,0.3,0.1,0.5,,,,0.1,0,0.2,0.1,0,0.2,0.1,0,0.2,,,,0.05,0,0.1,,,,0.1,0,0.2,,,,,,,,,,0.1,0,0.2,0.05,0,0.1,0.05,0,0.1,,,,,,,0.05,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,activities of extraterritorial organizations and bodies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
