tier1,tier2,hours_per_day,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education_research,meals,active_rec,religious,social,interactive,passive,work_employment,work_other,unknown
working hours,working hours,2.6,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
"outside working hours, work related","outside working hours, work related",0.43,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
homemaking,homemaking,2.9,nan;nan,nan;nan,0.2;0.05,nan;nan,nan;nan,0.025;0.025,0.05;0.025,nan;nan,0.4;0.1,nan;nan,nan;nan,nan;nan,0.1;0.05,0.1;0.05,0.05;0.025,nan;nan,0.075;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"education, training","education, training",1.2,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,0.95;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"work on the farm, cottage, gardens","work on the farm, cottage, gardens",0.47,0.5;0.15,0.2;0.1,nan;nan,nan;nan,nan;nan,0.05;0.025,0.05;0.025,nan;nan,0.15;0.075,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
education of children,education of children,0.25,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,0.95;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
leisure time,leisure time,5.25,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,0.05;0.075,0.1;0.05,0.225;0.1,0.2;0.075,0.375;0.1,nan;nan,nan;nan,nan;nan
satisfaction of physiological needs,satisfaction of physiological needs,10.75,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.75;0.05,0.1;0.025,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,nan;nan,0.15;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
help relatives and friends,help relatives and friends,0.12,0.15;0.075,nan;nan,0.1;0.05,nan;nan,nan;nan,0.1;0.05,0.1;0.05,nan;nan,0.1;0.05,nan;nan,nan;nan,nan;nan,0.1;0.05,0.1;0.05,0.05;0.025,nan;nan,0.1;0.05,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"other time-consuming, not specified about","other time-consuming, not specified about",0.03,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0
