tier1,tier2,hours_per_day,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education_research,meals,active_rec,religious,social,interactive,passive,work_employment,work_other,unknown
Personal care,Personal hygiene and grooming,0.65,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Personal care,Sleeping,8.633333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Personal care,Sleeplessness,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Personal care,Eating and drinking,1.466666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Personal care,Private activities,0.033333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Personal care,Personal medical care,0.066666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Personal care,Travel associated with personal care,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Personal care,Other personal care,0.016666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Labour force activity,Work for pay or profit,2.933333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Labour force activity,Travel associated with labour force activity,0.25,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Labour force activity,Other labour force activity,0.033333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Education and training,Formal education,0.45,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Education and training,Homework/study/research for any course or class,0.183333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
