tier1,tier2,hours_per_day,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education_research,meals,active_rec,religious,social,interactive,passive,work_employment,work_other,unknown
Employment for establishments,Wage & salary employment,0.656,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment for establishments,"Out workers, contractors for establishment",0.003,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment for establishments,Home-based work for an establishment,0.001,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment for establishments,Paid domestic work,0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment for establishments,Unpaid employment in establishment,0.02,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment for establishments,Work as employer/self-employed,0.113,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment for establishments,Construction work/infrastructure,0.038,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment for establishments,"Work in apprenticeship, in ternship & related activities",0.021,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Employment for establishments,Short breaks from work,0.013,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment for establishments,Seeking employment & related activities,0.007,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
