tier1,tier2,hours_per_day,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education_research,meals,active_rec,religious,social,interactive,passive,work_employment,work_other,unknown
Personal needs,Personal needs,9.81,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.8;0.05,0.1;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Education,Education,1.28,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,0.95;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Cooking,Cooking,1.12,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Housekeeping,Housekeeping,0.68,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.95;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Care of clothes,Care of clothes,0.51,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Home maintenance,Home maintenance,0.06,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.3;0.15,0.7;0.15,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Childcare,Childcare,0.68,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Care of unwell,Care of unwell,0.08,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Shopping for home,Shopping for home,0.36,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.2;0.05,nan;nan,0.8;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Home management,Home management,0.25,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.2;0.05,0.8;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Family and socializing,Family and socializing,2.08,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.95;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Free time,Free time,2.33,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,0.1;0.05,0.05;0.025,nan;nan,0.4;0.1,0.4;0.1,nan;nan,nan;nan,nan;nan
Gardening and animal care,Gardening and animal care,0.15,0.5;0.25,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.5;0.25,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Work for other households,Work for other households,0.11,0.025;0.0125,nan;nan,0.1;0.05,nan;nan,nan;nan,0.025;0.0125,0.05;0.025,0.05;0.025,0.05;0.025,0.05;0.025,nan;nan,0.025;0.0125,0.05;0.025,0.05;0.025,nan;nan,0.1;0.025,0.3;0.125,0.025;0.0125,nan;nan,0.05;0.025,nan;0.025,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan
Volunteer work,Volunteer work,0.07,0.025;0.0125,nan;nan,0.1;0.05,nan;nan,nan;nan,0.025;0.0125,0.05;0.025,0.05;0.025,0.05;0.025,0.05;0.025,nan;nan,0.025;0.0125,0.05;0.025,0.05;0.025,nan;nan,0.1;0.025,0.3;0.125,0.025;0.0125,nan;nan,0.05;0.025,nan;0.025,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan
